id_consulta,id_resultado
108216.png,1082162.png
13218346.png,132183462.png
139120.png,1391202.png
116618.png,1166182.png
138628.png,1386282.png
14041331.png,140413312.png
114860.png,1148602.png
13198641.png,131986412.png
13153850.png,131538502.png
13171752.png,131717522.png
1394631427.png,13946314272.png
14034650.png,140346502.png
11125.png,111252.png
13109485.png,131094852.png
107066.png,1070662.png
14071250.png,140712502.png
13166364.png,131663642.png
13194791.png,131947912.png
127312.png,1273122.png
12007173.png,120071732.png
14060326.png,140603262.png
1405928.png,14059282.png
14121500.png,141215002.png
13158714.png,131587142.png
117231.png,1172312.png
11000871.png,110008712.png
14134334.png,141343342.png
13198393.png,131983932.png
13202636.png,132026362.png
13176823.png,131768232.png
132517.png,1325172.png
13210153.png,132101532.png
14020601.png,140206012.png
106714.png,1067142.png
1007234.png,10072342.png
12004120.png,120041202.png
12000400.png,120004002.png
12007284.png,120072842.png
14035146.png,140351462.png
132305.png,1323052.png
140158.png,1401582.png
13133291.png,131332912.png
12888.png,128882.png
1016312.png,10163122.png
14047889.png,140478892.png
104412.png,1044122.png
12003147.png,120031472.png
133303.png,1333032.png
13173969.png,131739692.png
13129014.png,131290142.png
